Sem informação,Sem informação,Sem informação
ONGs,Associação de Moradores,Função não identificada
ONGs,Associação de Moradores,Membro
ONGs,Associação de Moradores,Presidente
ONGs,Associação ou Entidade Empresarial,Função não identificada
ONGs,Associação ou Entidade Empresarial,Membro
ONGs,Associação ou Entidade Empresarial,Presidente
ONGs,Associação ou Entidade Empresarial,Diretor
ONGs,Conselho de Segurança,Função não identificada
ONGs,Conselho de Segurança,Membro
ONGs,Conselho de Segurança,Presidente
ONGs,Associação,Função não identificada
ONGs,Associação,Membro
ONGs,Associação,Presidente
ONGs,Associação,Diretor
ONGs,Associação,Coordenador
ONGs,Fundação,Função não identificada
ONGs,Fundação,Membro
ONGs,Fundação,Presidente
ONGs,Fundação,Diretor
ONGs,Fundação,Coordenador
ONGs,OSCIP,Função não identificada
ONGs,OSCIP,Membro
ONGs,OSCIP,Presidente
ONGs,OSCIP,Diretor
ONGs,OSCIP,Coordenador
ONGs,Entidade Beneficente,Função não identificada
ONGs,Entidade Beneficente,Assistente/Auxiliar administrativo
ONGs,Entidade Beneficente,Gerente/Gestor(a)
ONGs,Entidade Beneficente,Segurança
ONGs,Entidade Beneficente,Presidente
ONGs,Entidade Beneficente,Diretor
ONGs,Entidade Beneficente,Coordenador
ONGs,Entidade Beneficente,Motorista
ONGs,Instituto Beneficente,Função não identificada
ONGs,Instituto Beneficente,Assistente/Auxiliar administrativo
ONGs,Instituto Beneficente,Gerente/Gestor(a)
ONGs,Instituto Beneficente,Segurança
ONGs,Instituto Beneficente,Presidente
ONGs,Instituto Beneficente,Diretor
ONGs,Instituto Beneficente,Coordenador
ONGs,Instituto Beneficente,Motorista
Instituição Religiosa,Comunidade Terapêutica,Função não identificada
Instituição Religiosa,Comunidade Terapêutica,Assistente/Auxiliar administrativo
Instituição Religiosa,Comunidade Terapêutica,Guarda Municipal
Instituição Religiosa,Comunidade Terapêutica,Gerente/Gestor(a)
Instituição Religiosa,Comunidade Terapêutica,Segurança
Instituição Religiosa,Comunidade Terapêutica,Assistente Social
Instituição Religiosa,Comunidade Terapêutica,Psicólogo(a)
Instituição Religiosa,Comunidade Terapêutica,Médico(a)
Instituição Religiosa,Comunidade Terapêutica,Padre
Instituição Religiosa,Comunidade Terapêutica,Pastor
Instituição Religiosa,Igreja,Função não identificada
Instituição Religiosa,Igreja,Padre
Instituição Religiosa,Igreja,Pastor
Setor Privado,Clínica de Recuperação,Função não identificada
Setor Privado,Clínica de Recuperação,Gerente/Gestor(a)
Setor Privado,Clínica de Recuperação,Assistente/Auxiliar administrativo
Setor Privado,Clínica de Recuperação,Segurança
Setor Privado,Clínica de Recuperação,Guarda Municipal
Setor Privado,Clínica de Recuperação,Assistente social
Setor Privado,Clínica de Recuperação,Psicólogo(a)
Setor Privado,Clínica de Recuperação,Médico(a)
Setor Privado,Clínica de Recuperação,Pastor
Setor Privado,Clínica de Recuperação,Padre
Setor Privado,Banco,Função não identificada
Setor Privado,Banco,Assistente/Auxiliar administrativo
Setor Privado,Banco,Caixa
Setor Privado,Banco,Gerente
Setor Privado,Banco,Segurança
Setor Privado,Biblioteca,Função não identificada
Setor Privado,Biblioteca,Assistente/Auxiliar administrativo
Setor Privado,Biblioteca,Bibliotecário(a)
Setor Privado,Biblioteca,Segurança
Setor Privado,Biblioteca,Gerente/Gestor(a)
Setor Privado,Cartório,Função não identificada
Setor Privado,Cartório,Segurança
Setor Privado,Cartório,Caixa
Setor Privado,Cartório,Gerente/Gestor(a)
Setor Privado,Cartório,Assistente/Auxiliar administrativo
Setor Privado,Cartório,Escrivão
Setor Privado,Comunidade Terapêutica,Função não identificada
Setor Privado,Comunidade Terapêutica,Assistente/Auxiliar administrativo
Setor Privado,Comunidade Terapêutica,Guarda Municipal
Setor Privado,Comunidade Terapêutica,Gerente/Gestor(a)
Setor Privado,Comunidade Terapêutica,Segurança
Setor Privado,Comunidade Terapêutica,Assistente Social
Setor Privado,Comunidade Terapêutica,Psicólogo(a)
Setor Privado,Comunidade Terapêutica,Médico(a)
Setor Privado,Comunidade Terapêutica,Padre
Setor Privado,Comunidade Terapêutica,Pastor
Setor Privado,Empresa (outros tipos),Função não identificada
Setor Privado,Empresa (outros tipos),Assistente/Auxiliar administrativo
Setor Privado,Empresa (outros tipos),Caixa
Setor Privado,Empresa (outros tipos),Atendente
Setor Privado,Empresa (outros tipos),Gerente
Setor Privado,Empresa (outros tipos),Empresário(a)
Setor Privado,Empresa (outros tipos),Segurança
Setor Privado,Empresa de construção civil,Função não identificada
Setor Privado,Empresa de construção civil,Assistente/Auxiliar administrativo
Setor Privado,Empresa de construção civil,Gerente/Gestor(a)
Setor Privado,Empresa de construção civil,Empresário(a)
Setor Privado,Empresa de construção civil,Segurança
Setor Privado,Empresa de construção civil,Engenheiro(a)
Setor Privado,Empresa de transporte,Função não identificada
Setor Privado,Empresa de transporte,Empresário(a)
Setor Privado,Empresa de transporte,Assistente/Auxiliar administrativo
Setor Privado,Empresa de transporte,Gerente/Gestor(a)
Setor Privado,Empresa de transporte,Cobrador(a)
Setor Privado,Empresa de transporte,Motorista
Setor Privado,Empresa de segurança privada,Função não identificada
Setor Privado,Empresa de segurança privada,Empresário(a)
Setor Privado,Empresa de segurança privada,Segurança
Setor Privado,Hospital,Função não identificada
Setor Privado,Hospital,Assistente/Auxiliar administrativo,
Setor Privado,Hospital,Enfermeiro(a)
Setor Privado,Hospital,Médico(a)
Setor Privado,Hospital,Farmacêutico(a)
Setor Privado,Hospital,Nutricionista
Setor Privado,Hospital,Fisioterapeuta
Setor Privado,Instituto de Pesquisa,Função não identificada
Setor Privado,Instituto de Pesquisa,Pesquisador(a)
Setor Privado,Mídia,Função não identificada
Setor Privado,Mídia,Jornalista
Setor Público,Pronto-Socorro,Função não identificada
Setor Público,Pronto-Socorro,Guarda Municipal
Setor Público,Pronto-Socorro,Segurança
Setor Público,Pronto-Socorro,Enfermeiro(a)
Setor Público,Pronto-Socorro,Médico(a)
Setor Privado,Pronto-Socorro,Nutricionista
Setor Privado,Pronto-Socorro,Fisioterapeuta
Setor Privado,Pronto-Socorro,Dentista
Setor Privado,Shopping Center,Função não identificada
Setor Privado,Shopping Center,Empresário(a)
Setor Privado,Shopping Center,Atendente
Setor Privado,Shopping Center,Segurança
Setor Privado,Shopping Center,Assistente/Auxiliar administrativo
Setor Privado,Supermercado,Função não identificada
Setor Privado,Supermercado,Empresário(a)
Setor Privado,Supermercado,Segurança
Setor Privado,Supermercado,Fiscal
Setor Privado,Supermercado,Caixa
Setor Privado,Supermercado,Gerente
Setor Público,Agência da Previdência Social,Função não identificada
Setor Público,Agência da Previdência Social,Assistente/Auxiliar administrativo
Setor Público,Agência da Previdência Social,Guarda Municipal
Setor Público,Agência da Previdência Social,Gerente/Gestor(a)
Setor Público,Agência da Previdência Social,Segurança
Setor Público,Agência da Previdência Social,Técnico
Setor Público,Assembleia Legislativa,Função não identificada
Setor Público,Assembleia Legislativa,Assistente/Auxiliar administrativo
Setor Público,Assembleia Legislativa,Guarda Municipal
Setor Público,Assembleia Legislativa,Gerente/Gestor(a)
Setor Público,Assembleia Legislativa,Segurança
Setor Público,Assembleia Legislativa,Deputado(a) Estadual
Setor Público,Assembleia Legislativa,Técnico(a)
Setor Público,Banco,Função não identificada
Setor Público,Banco,Assistente/Auxiliar administrativo
Setor Público,Banco,Gerente/Gestor(a)
Setor Público,Banco,Segurança
Setor Público,Banco,Caixa
Setor Público,Banco,Técnico(a)
Setor Público,Biblioteca,Função não identificada
Setor Público,Biblioteca,Assistente/Auxiliar administrativo
Setor Público,Biblioteca,Guarda Municipal
Setor Público,Biblioteca,Gerente/Gestor(a)
Setor Público,Biblioteca,Bibliotecário(a)
Setor Público,Biblioteca,Segurança
Setor Público,Biblioteca,Técnico(a)
Setor Público,Câmara dos Deputados,Função não identificada
Setor Público,Câmara dos Deputados,Assistente/Auxiliar administrativo
Setor Público,Câmara dos Deputados,Guarda Municipal
Setor Público,Câmara dos Deputados,Gerente/Gestor(a)
Setor Público,Câmara dos Deputados,Segurança
Setor Público,Câmara dos Deputados,Deputado(a) Federal
Setor Público,Câmara dos Deputados,Técnico(a)
Setor Público,Câmara Municipal,Função não identificada
Setor Público,Câmara Municipal,Assistente/Auxiliar administrativo
Setor Público,Câmara Municipal,Guarda Municipal
Setor Público,Câmara Municipal,Gerente/Gestor(a)
Setor Público,Câmara Municipal,Segurança
Setor Público,Câmara Municipal,Vereador(a)
Setor Público,Câmara Municipal,Técnico(a)
Setor Público,Centro de Referência em Direitos Humanos,Função não identificada
Setor Público,Centro de Referência em Direitos Humanos,Assistente/Auxiliar administrativo
Setor Público,Centro de Referência em Direitos Humanos,Gerente/Gestor(a)
Setor Público,Centro de Referência em Direitos Humanos,Assistente Social
Setor Público,Centro de Referência em Direitos Humanos,Psicólogo(a)
Setor Público,Centro de Referência em Direitos Humanos,Advogado(a)
Setor Público,Centro de Referência em Direitos Humanos,Coordenador
Setor Público,Centro de Referência em Direitos Humanos,Técnico(a)
Setor Público,Centro Pop/Creas Pop,Função não identificada
Setor Público,Centro Pop/Creas Pop,Assistente/Auxiliar administrativo
Setor Público,Centro Pop/Creas Pop,Guarda Municipal
Setor Público,Centro Pop/Creas Pop,Gerente/Gestor(a)
Setor Público,Centro Pop/Creas Pop,Segurança
Setor Público,Centro Pop/Creas Pop,Assistente Social
Setor Público,Centro Pop/Creas Pop,Psicólogo(a)
Setor Público,Centro Pop/Creas Pop,Técnico(a)
Setor Público,Clínica de Recuperação,Função não identificada
Setor Público,Clínica de Recuperação,Assistente/Auxiliar administrativo
Setor Público,Clínica de Recuperação,Guarda Municipal
Setor Público,Clínica de Recuperação,Gerente/Gestor(a)
Setor Público,Clínica de Recuperação,Segurança
Setor Público,Clínica de Recuperação,Assistente Social
Setor Público,Clínica de Recuperação,Psicólogo(a)
Setor Público,Clínica de Recuperação,Médico(a)
Setor Público,Clínica de Recuperação,Pastor(a)
Setor Público,Clínica de Recuperação,Padre
Setor Público,Clínica de Recuperação,Técnico(a)
Setor Público,Companhia Urbanizadora,Função não identificada
Setor Público,Companhia Urbanizadora,Assistente/Auxiliar administrativo
Setor Público,Companhia Urbanizadora,Guarda Municipal
Setor Público,Companhia Urbanizadora,Gerente/Gestor(a)
Setor Público,Companhia Urbanizadora,Técnico(a)
Setor Público,Conselho Estadual de Assistência Social,Membro do Conselho
Setor Público,Conselho Estadual de Assistência Social,Função não identificada
Setor Público,Conselho Estadual de Assistência Social,Assistente/Auxiliar administrativo
Setor Público,Conselho Estadual de Assistência Social,Gerente/Gestor(a)
Setor Público,Conselho Estadual de Assistência Social,Assistente Social
Setor Público,Conselho Estadual de Assistência Social,Técnico(a)
Setor Público,Conselho Estadual de Saúde,Membro do Conselho
Setor Público,Conselho Estadual de Saúde,Função não identificada
Setor Público,Conselho Estadual de Saúde,Assistente/Auxiliar administrativo
Setor Público,Conselho Estadual de Saúde,Gerente/Gestor(a)
Setor Público,Conselho Estadual de Saúde,Técnico(a)
Setor Público,Conselho Municipal de Assistência Social,Membro do Conselho
Setor Público,Conselho Municipal de Assistência Social,Função não identificada
Setor Público,Conselho Municipal de Assistência Social,Assistente/Auxiliar administrativo
Setor Público,Conselho Municipal de Assistência Social,Gerente/Gestor(a)
Setor Público,Conselho Municipal de Assistência Social,Assistente Social
Setor Público,Conselho Municipal de Assistência Social,Técnico(a)
Setor Público,Conselho Municipal de Saúde,Membro do Conselho
Setor Público,Conselho Municipal de Saúde,Função não identificada
Setor Público,Conselho Municipal de Saúde,Assistente/Auxiliar administrativo
Setor Público,Conselho Municipal de Saúde,Gerente/Gestor(a)
Setor Público,Conselho Municipal de Saúde,Técnico(a)
Setor Público,Conselho Tutelar,Função não identificada
Setor Público,Conselho Tutelar,Conselheiro(a) Tutelar
Setor Público,Conselho Tutelar,Técnico(a)
Setor Público,Corpo de Bombeiros,Função não identificada
Setor Público,Corpo de Bombeiros,Bombeiro(a)
Setor Público,Corpo de Bombeiros,Técnico(a)
Setor Público,CRAS/CREAS,Função não identificada
Setor Público,CRAS/CREAS,Assistente/Auxiliar administrativo
Setor Público,CRAS/CREAS,Guarda Municipal
Setor Público,CRAS/CREAS,Gerente/Gestor(a)
Setor Público,CRAS/CREAS,Segurança
Setor Público,CRAS/CREAS,Assistente Social
Setor Público,CRAS/CREAS,Psicólogo(a)
Setor Público,CRAS/CREAS,Educador(a) Social
Setor Público,CRAS/CREAS,Monitor(a) Social
Setor Público,CRAS/CREAS,Técnico(a)
Setor Público,Embaixada/Consulado,Função não identificada
Setor Público,Embaixada/Consulado,Assistente/Auxiliar administrativo
Setor Público,Embaixada/Consulado,Gerente/Gestor(a)
Setor Público,Embaixada/Consulado,Embaixador
Setor Público,Embaixada/Consulado,Cônsul
Setor Público,Embaixada/Consulado,Técnico(a)
Setor Público,Empresa de transporte público,Função não identificada
Setor Público,Empresa de transporte público,Assistente/Auxiliar administrativo
Setor Público,Empresa de transporte público,Gerente/Gestor(a)
Setor Público,Empresa de transporte público,Cobrador(a)
Setor Público,Empresa de transporte público,Motorista
Setor Público,Empresa de transporte público,Técnico(a)
Setor Público,Fiscalização Municipal,Função não identificada
Setor Público,Fiscalização Municipal,Gerente/Gestor(a)
Setor Público,Fiscalização Municipal,Coordenador(a)
Setor Público,Fiscalização Municipal,Fiscal
